Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 278.156005859375

Log:
212.30399992782623 - runAnimationTest
214.30999995209277 - First webkitAnimationStart event fired
214.41499993670732 - Finished waiting for animations to start
343.7530000228435 - RAF callback, animation time: 129.32800000999123
344.93399993516505 - RAF callback, animation time: 130.5099999299273
346.1189999943599 - RAF callback, animation time: 131.69499998912215
347.2509999992326 - RAF callback, animation time: 132.82599998638034
348.37299992796034 - RAF callback, animation time: 133.9490000391379
349.55199994146824 - RAF callback, animation time: 135.12600003741682
350.72099999524653 - RAF callback, animation time: 136.29599998239428
351.9259999739006 - RAF callback, animation time: 137.50099996104836
353.23899996001273 - RAF callback, animation time: 138.67100002244115
354.34399999212474 - RAF callback, animation time: 139.83500003814697
355.40000000037253 - RAF callback, animation time: 140.96400002017617
356.565999914892 - RAF callback, animation time: 142.1410000184551
357.7349999686703 - RAF callback, animation time: 143.31099996343255
358.92199992667884 - RAF callback, animation time: 144.4980000378564
360.1100000087172 - RAF callback, animation time: 145.68600000347942
361.31700000260025 - RAF callback, animation time: 146.8820000300184
362.50599997583777 - RAF callback, animation time: 148.08099996298552
363.61200001556426 - RAF callback, animation time: 149.1880000103265
364.7829999681562 - RAF callback, animation time: 150.35899996291846
365.9609999740496 - RAF callback, animation time: 151.53599996119738
367.12800001259893 - RAF callback, animation time: 152.70400000736117
368.30600001849234 - RAF callback, animation time: 153.88200001325458
369.4899999536574 - RAF callback, animation time: 155.06599994841963
370.62800000421703 - RAF callback, animation time: 156.20399999897927
371.81899999268353 - RAF callback, animation time: 157.39499998744577
373.0009999126196 - RAF callback, animation time: 158.57700002379715
374.1819999413565 - RAF callback, animation time: 159.75799993611872
375.3579999320209 - RAF callback, animation time: 160.93400004319847
376.5359999379143 - RAF callback, animation time: 162.11199993267655
377.7179999742657 - RAF callback, animation time: 163.29399996902794
379.0060000028461 - RAF callback, animation time: 164.57399993669242
380.16699999570847 - RAF callback, animation time: 165.7419999828562
381.355999968946 - RAF callback, animation time: 166.93199996370822
382.547999965027 - RAF callback, animation time: 168.12299995217472
383.81599995773286 - RAF callback, animation time: 169.38899992965162
384.98700002674013 - RAF callback, animation time: 170.56200001388788
386.1719999695197 - RAF callback, animation time: 171.74799996428192
387.35299999825656 - RAF callback, animation time: 172.9279999854043
388.55699996929616 - RAF callback, animation time: 174.1319999564439
389.7919999435544 - RAF callback, animation time: 175.3630000166595
390.93100000172853 - RAF callback, animation time: 176.50599998887628
392.1270000282675 - RAF callback, animation time: 177.70200001541525
393.3170000091195 - RAF callback, animation time: 178.89199999626726
394.48999997694045 - RAF callback, animation time: 180.0659999717027
395.68099996540695 - RAF callback, animation time: 181.2559999525547
396.92600001581013 - RAF callback, animation time: 182.4989999877289
398.07499991729856 - RAF callback, animation time: 183.65100002847612
399.2109999526292 - RAF callback, animation time: 184.78599993977696
400.4789999453351 - RAF callback, animation time: 186.05499994009733
401.653999928385 - RAF callback, animation time: 187.2290000319481
402.8339999495074 - RAF callback, animation time: 188.40999994426966
404.0249999379739 - RAF callback, animation time: 189.60099993273616
405.2079999819398 - RAF callback, animation time: 190.78399997670203
406.4210000215098 - RAF callback, animation time: 191.99700001627207
407.6270000077784 - RAF callback, animation time: 193.20199999492615
408.79899996798486 - RAF callback, animation time: 194.3749999627471
410.0179999368265 - RAF callback, animation time: 195.5910000251606
411.2139999633655 - RAF callback, animation time: 196.78899995051324
412.4290000181645 - RAF callback, animation time: 198.00500001292676
413.61299995332956 - RAF callback, animation time: 199.1889999480918
414.7879999363795 - RAF callback, animation time: 200.36399993114173
415.9689999651164 - RAF callback, animation time: 201.54499995987862
417.1479999786243 - RAF callback, animation time: 202.72399997338653
418.3509999420494 - RAF callback, animation time: 203.92500003799796
419.54899998381734 - RAF callback, animation time: 205.12499997857958
420.6370000028983 - RAF callback, animation time: 206.21299999766052
421.8269999837503 - RAF callback, animation time: 207.40299997851253
423.01000002771616 - RAF callback, animation time: 208.5860000224784
425.02199998125434 - RAF callback, animation time: 210.59100003913045
426.14899994805455 - RAF callback, animation time: 211.7239999352023
427.3109999485314 - RAF callback, animation time: 212.88699994329363
428.5130000207573 - RAF callback, animation time: 214.08800000790507
429.7050000168383 - RAF callback, animation time: 215.28100001160055
430.79000001307577 - RAF callback, animation time: 216.366000007838
431.9670000113547 - RAF callback, animation time: 217.54300000611693
433.1569999922067 - RAF callback, animation time: 218.73299998696893
434.3699999153614 - RAF callback, animation time: 219.94600002653897
435.5639999266714 - RAF callback, animation time: 221.13900003023446
436.7639999836683 - RAF callback, animation time: 222.33200003392994
437.94899992644787 - RAF callback, animation time: 223.52400003001094
439.13299997802824 - RAF callback, animation time: 224.70899997279048
440.3310000197962 - RAF callback, animation time: 225.90600000694394
441.48799998220056 - RAF callback, animation time: 227.0639999769628
442.67100002616644 - RAF callback, animation time: 228.2460000133142
443.86999995913357 - RAF callback, animation time: 229.4459999538958
444.98799997381866 - RAF callback, animation time: 230.5639999685809
446.16900000255555 - RAF callback, animation time: 231.7449999973178
447.3539999453351 - RAF callback, animation time: 232.92999994009733
448.5299999359995 - RAF callback, animation time: 234.10599993076175
449.7129999799654 - RAF callback, animation time: 235.28899997472763
450.89500001631677 - RAF callback, animation time: 236.471000011079
452.08800002001226 - RAF callback, animation time: 237.6640000147745
453.2759999856353 - RAF callback, animation time: 238.85099997278303
454.4499999610707 - RAF callback, animation time: 240.02599995583296
455.62599995173514 - RAF callback, animation time: 241.20199994649738
456.93999994546175 - RAF callback, animation time: 242.51000001095235
458.08200002647936 - RAF callback, animation time: 243.6580000212416
459.26299993880093 - RAF callback, animation time: 244.83899993356317
460.44199995230883 - RAF callback, animation time: 246.01699993945658
461.5869999397546 - RAF callback, animation time: 247.16299993451685
462.768999976106 - RAF callback, animation time: 248.34399996325374
463.9579999493435 - RAF callback, animation time: 249.53399994410574
465.14300000853837 - RAF callback, animation time: 250.7190000033006
465.1859999867156 - Running checks for time: 250, delay: 0.7190000033006072
465.30299994628876 - Checking expectation: [null,0.25,"box","left",200,20]
465.8199999248609 - Ending test
