Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "test" element at 0.2s expected: 100 but saw: 500.9978942871094

Log:
23.52799999994204 - runAnimationTest
25.62000000000353 - First webkitAnimationStart event fired
25.68599999995058 - Finished waiting for animations to start
195.49899999992704 - RAF callback, animation time: 169.79000000003452
196.6859999999997 - RAF callback, animation time: 170.97700000010718
197.93699999991077 - RAF callback, animation time: 172.22700000002078
199.17799999996078 - RAF callback, animation time: 173.4680000000708
200.41700000001583 - RAF callback, animation time: 174.70700000001216
201.6559999999572 - RAF callback, animation time: 175.9470000000647
202.89600000000974 - RAF callback, animation time: 177.18700000000354
204.13799999994353 - RAF callback, animation time: 178.42800000005354
205.3529999999455 - RAF callback, animation time: 179.6430000000555
206.9569999999885 - RAF callback, animation time: 181.248000000096
208.31399999997302 - RAF callback, animation time: 182.6050000000805
209.56599999999526 - RAF callback, animation time: 183.85600000010527
210.8339999999771 - RAF callback, animation time: 185.1240000000871
212.08599999999933 - RAF callback, animation time: 186.37600000010934
213.34799999999632 - RAF callback, animation time: 187.63700000010886
214.66499999996813 - RAF callback, animation time: 188.95500000007814
215.92899999996007 - RAF callback, animation time: 190.21900000007008
217.29999999990923 - RAF callback, animation time: 191.58900000002177
218.60099999992144 - RAF callback, animation time: 192.766000000006
219.92499999998927 - RAF callback, animation time: 194.1350000000739
221.19999999995343 - RAF callback, animation time: 195.47800000009374
222.39300000001094 - RAF callback, animation time: 196.68300000000727
223.67499999995744 - RAF callback, animation time: 197.96500000006745
224.92399999998725 - RAF callback, animation time: 199.21400000009726
226.17300000001705 - RAF callback, animation time: 200.4620000000159
226.20099999994636 - Running checks for time: 200, delay: 0.46200000001590524
226.3469999999188 - Checking expectation: [null,0.2,"test","left",100,10]
226.86099999998532 - Ending test
