Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.127000000034968 - runAnimationTest
10.711000000014792 - First webkitAnimationStart event fired
10.740000000055261 - Finished waiting for animations to start
131.11000000003514 - RAF callback, animation time: 120.35800000001018
132.22800000005464 - RAF callback, animation time: 121.4750000000322
133.34900000006655 - RAF callback, animation time: 122.59599999993043
134.47400000006837 - RAF callback, animation time: 123.72199999992972
135.59800000007272 - RAF callback, animation time: 124.84499999993659
136.76699999996345 - RAF callback, animation time: 126.00799999995616
137.882999999988 - RAF callback, animation time: 127.12999999996555
139.00699999999233 - RAF callback, animation time: 128.25499999996737
140.13299999999163 - RAF callback, animation time: 129.3799999999692
141.26299999998082 - RAF callback, animation time: 130.50999999995838
142.39299999997002 - RAF callback, animation time: 131.64099999994505
143.52099999996426 - RAF callback, animation time: 132.7689999999393
144.6530000000621 - RAF callback, animation time: 133.90100000003713
145.78100000005634 - RAF callback, animation time: 135.0280000000339
146.90200000006826 - RAF callback, animation time: 136.1499999999296
148.01199999999426 - RAF callback, animation time: 137.25899999997182
149.12900000001628 - RAF callback, animation time: 138.3769999999913
150.25200000002314 - RAF callback, animation time: 139.4990000000007
151.48599999997714 - RAF callback, animation time: 140.61900000001515
152.57099999996626 - RAF callback, animation time: 141.7470000000094
153.6429999999882 - RAF callback, animation time: 142.88299999998344
154.77399999997488 - RAF callback, animation time: 144.02099999995244
155.9310000000096 - RAF callback, animation time: 145.17899999998463
157.08200000005945 - RAF callback, animation time: 146.32399999993595
158.20099999996273 - RAF callback, animation time: 147.44899999993777
159.3239999999696 - RAF callback, animation time: 148.57199999994464
160.44899999997142 - RAF callback, animation time: 149.69599999994898
161.57699999996566 - RAF callback, animation time: 150.8249999999407
162.70199999996748 - RAF callback, animation time: 151.94999999994252
163.83600000006027 - RAF callback, animation time: 153.0840000000353
164.96100000006209 - RAF callback, animation time: 154.20900000003712
166.06899999999314 - RAF callback, animation time: 155.31699999996817
167.192 - RAF callback, animation time: 156.43999999997504
168.30800000002455 - RAF callback, animation time: 157.55300000000716
169.40299999998842 - RAF callback, animation time: 158.6489999999685
170.52499999999782 - RAF callback, animation time: 159.77199999997538
171.63000000005013 - RAF callback, animation time: 160.8770000000277
172.7490000000671 - RAF callback, animation time: 161.99599999993097
173.87200000007397 - RAF callback, animation time: 163.11799999994037
174.99499999996715 - RAF callback, animation time: 164.2419999999447
176.07900000007248 - RAF callback, animation time: 165.32699999993383
177.20500000007178 - RAF callback, animation time: 166.45199999993565
178.32699999996748 - RAF callback, animation time: 167.57299999994757
179.44199999999455 - RAF callback, animation time: 168.68799999997464
180.53099999997357 - RAF callback, animation time: 169.7789999999486
181.74099999998816 - RAF callback, animation time: 170.98799999996572
182.86000000000513 - RAF callback, animation time: 172.1069999999827
183.98400000000947 - RAF callback, animation time: 173.23099999998703
185.0729999999885 - RAF callback, animation time: 174.32099999996353
186.2069999999676 - RAF callback, animation time: 175.45299999994768
187.32199999999466 - RAF callback, animation time: 176.56799999997475
188.4380000000192 - RAF callback, animation time: 177.68499999999676
189.52300000000832 - RAF callback, animation time: 178.76999999998588
190.64700000001267 - RAF callback, animation time: 179.89399999999023
191.76200000003973 - RAF callback, animation time: 181.0090000000173
192.88000000005923 - RAF callback, animation time: 182.1270000000368
193.97600000002058 - RAF callback, animation time: 183.2200000000057
195.15499999999975 - RAF callback, animation time: 184.4019999999773
196.2580000000571 - RAF callback, animation time: 185.50600000003215
197.371999999973 - RAF callback, animation time: 186.59500000001117
198.44899999998233 - RAF callback, animation time: 187.69699999995737
199.54300000006242 - RAF callback, animation time: 188.79100000003746
200.63500000003387 - RAF callback, animation time: 189.8830000000089
