Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 279.0985107421875

Log:
217.96599999993305 - runAnimationTest
220.47399999996742 - First webkitAnimationStart event fired
220.6899999999905 - Finished waiting for animations to start
342.9360000000088 - RAF callback, animation time: 122.21999999997024
344.0539999999146 - RAF callback, animation time: 123.33699999999226
345.16099999996186 - RAF callback, animation time: 124.445000000037
346.2680000000091 - RAF callback, animation time: 125.55199999997058
347.3759999999402 - RAF callback, animation time: 126.66000000001532
348.48999999996977 - RAF callback, animation time: 127.77300000004743
349.6030000000019 - RAF callback, animation time: 128.88699999996334
350.8879999999408 - RAF callback, animation time: 130.1620000000412
352.00399999996534 - RAF callback, animation time: 131.287000000043
353.2480000000078 - RAF callback, animation time: 132.39999999996144
354.37899999999445 - RAF callback, animation time: 133.58400000004167
355.4309999999532 - RAF callback, animation time: 134.7040000000561
356.5249999999196 - RAF callback, animation time: 135.80799999999726
357.6539999999113 - RAF callback, animation time: 136.93799999998646
358.8479999999663 - RAF callback, animation time: 138.13100000004397
359.97999999995045 - RAF callback, animation time: 139.26300000002811
361.1799999999903 - RAF callback, animation time: 140.46300000006795
362.28399999993144 - RAF callback, animation time: 141.5670000000091
363.41699999991306 - RAF callback, animation time: 142.7009999999882
364.50600000000577 - RAF callback, animation time: 143.78899999996975
365.61699999992925 - RAF callback, animation time: 144.9000000000069
366.72599999997146 - RAF callback, animation time: 146.0100000000466
367.8349999999 - RAF callback, animation time: 147.1199999999726
368.94699999993463 - RAF callback, animation time: 148.23100000000977
370.0789999999188 - RAF callback, animation time: 149.36299999999392
371.19299999994837 - RAF callback, animation time: 150.47600000002603
372.30299999998806 - RAF callback, animation time: 151.5870000000632
373.40899999992416 - RAF callback, animation time: 152.6929999999993
374.55099999999675 - RAF callback, animation time: 153.83399999996072
375.6599999999253 - RAF callback, animation time: 154.94400000000041
376.7609999999877 - RAF callback, animation time: 156.04500000006283
377.8749999999036 - RAF callback, animation time: 157.15899999997873
378.98699999993823 - RAF callback, animation time: 158.27100000001337
380.0969999999779 - RAF callback, animation time: 159.38100000005306
381.202999999914 - RAF callback, animation time: 160.48699999998917
382.3099999999613 - RAF callback, animation time: 161.5950000000339
383.4229999999934 - RAF callback, animation time: 162.70699999995486
384.48299999993196 - RAF callback, animation time: 163.7670000000071
385.75299999990875 - RAF callback, animation time: 165.03499999998894
386.80599999997867 - RAF callback, animation time: 166.0900000000538
387.9469999999401 - RAF callback, animation time: 167.2280000000228
389.1889999999876 - RAF callback, animation time: 168.4699999999566
390.6690000000026 - RAF callback, animation time: 169.94899999997415
391.7879999999059 - RAF callback, animation time: 171.0689999999886
392.91099999991275 - RAF callback, animation time: 172.19199999999546
394.0419999998994 - RAF callback, animation time: 173.3239999999796
395.1710000000048 - RAF callback, animation time: 174.45199999997385
396.30699999997887 - RAF callback, animation time: 175.58800000006158
397.46900000000096 - RAF callback, animation time: 176.7489999999725
398.6089999999649 - RAF callback, animation time: 177.88900000005015
399.7749999999769 - RAF callback, animation time: 179.05500000006214
400.9209999999257 - RAF callback, animation time: 180.1860000000488
402.0389999999452 - RAF callback, animation time: 181.3200000000279
403.1689999999344 - RAF callback, animation time: 182.4500000000171
404.29999999992106 - RAF callback, animation time: 183.58100000000377
405.4319999999052 - RAF callback, animation time: 184.7139999999854
406.5620000000081 - RAF callback, animation time: 185.84399999997459
407.69399999999223 - RAF callback, animation time: 186.97499999996126
408.81500000000415 - RAF callback, animation time: 188.09599999997317
409.9679999999353 - RAF callback, animation time: 189.2480000000205
411.26699999995253 - RAF callback, animation time: 190.5460000000403
412.27199999991626 - RAF callback, animation time: 191.55299999999897
413.41399999998885 - RAF callback, animation time: 192.69499999995787
414.55599999994774 - RAF callback, animation time: 193.83700000003046
415.7079999999951 - RAF callback, animation time: 194.98799999996663
416.8809999999894 - RAF callback, animation time: 196.16099999996095
418.0859999999029 - RAF callback, animation time: 197.36699999998564
419.2489999999225 - RAF callback, animation time: 198.52900000000773
420.38099999990663 - RAF callback, animation time: 199.66199999998935
421.5189999999893 - RAF callback, animation time: 200.79999999995835
422.649999999976 - RAF callback, animation time: 201.9310000000587
423.8619999999855 - RAF callback, animation time: 203.14199999995708
425.0539999999319 - RAF callback, animation time: 204.3350000000146
426.19600000000446 - RAF callback, animation time: 205.4769999999735
427.3239999999987 - RAF callback, animation time: 206.6059999999652
428.4949999999981 - RAF callback, animation time: 207.77699999996457
429.6319999999696 - RAF callback, animation time: 208.9130000000523
430.9379999999692 - RAF callback, animation time: 210.2190000000519
432.111999999961 - RAF callback, animation time: 211.39300000004368
433.2689999999957 - RAF callback, animation time: 212.53500000000258
434.39200000000255 - RAF callback, animation time: 213.67299999997158
435.53799999995135 - RAF callback, animation time: 214.81900000003407
436.6769999999178 - RAF callback, animation time: 215.95800000000054
437.8479999999172 - RAF callback, animation time: 217.12800000000243
438.97899999990386 - RAF callback, animation time: 218.2589999999891
440.17699999994875 - RAF callback, animation time: 219.457000000034
441.30299999994804 - RAF callback, animation time: 220.58400000003076
442.4349999999322 - RAF callback, animation time: 221.7160000000149
443.5639999999239 - RAF callback, animation time: 222.84500000000662
444.68799999992825 - RAF callback, animation time: 223.96900000001096
445.81799999991745 - RAF callback, animation time: 225.09900000000016
446.9489999999041 - RAF callback, animation time: 226.2309999999843
448.0899999999792 - RAF callback, animation time: 227.37100000006194
450.2979999999752 - RAF callback, animation time: 229.57800000006046
451.43399999994926 - RAF callback, animation time: 230.71500000003198
452.52799999991566 - RAF callback, animation time: 231.80899999999838
453.6769999999706 - RAF callback, animation time: 232.9580000000533
454.8139999999421 - RAF callback, animation time: 234.09400000002734
455.9429999999338 - RAF callback, animation time: 235.225000000014
457.0649999999432 - RAF callback, animation time: 236.34600000002592
458.20099999991726 - RAF callback, animation time: 237.48199999999997
459.3609999999444 - RAF callback, animation time: 238.64100000002963
460.53199999994376 - RAF callback, animation time: 239.81300000002648
461.66599999992286 - RAF callback, animation time: 240.94700000000557
462.79699999990953 - RAF callback, animation time: 242.07799999999224
463.92900000000736 - RAF callback, animation time: 243.2099999999764
465.5649999999696 - RAF callback, animation time: 244.84500000005482
466.71199999991586 - RAF callback, animation time: 245.97900000003392
467.8589999999758 - RAF callback, animation time: 247.13900000006106
468.9899999999625 - RAF callback, animation time: 248.2710000000452
470.13399999991634 - RAF callback, animation time: 249.41499999999905
471.27899999998135 - RAF callback, animation time: 250.5590000000666
471.3569999998981 - Running checks for time: 250, delay: 0.5590000000665896
471.533999999906 - Checking expectation: [null,0.25,"box","left",200,20]
472.6829999999609 - Ending test
