Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "test" element at 0.2s expected: 100 but saw: 500.98870849609375

Log:
20.601999999939835 - runAnimationTest
22.61199999998098 - First webkitAnimationStart event fired
22.708999999963453 - Finished waiting for animations to start
145.2239999999847 - RAF callback, animation time: 122.48399999998583
146.42399999991085 - RAF callback, animation time: 123.68400000002566
147.583999999938 - RAF callback, animation time: 124.84300000005533
148.80799999991723 - RAF callback, animation time: 126.05200000007244
150.01599999993687 - RAF callback, animation time: 127.27600000005168
151.2239999999565 - RAF callback, animation time: 128.4850000000688
153.43799999993735 - RAF callback, animation time: 130.69800000005216
154.6489999999494 - RAF callback, animation time: 131.90900000006422
155.84899999998925 - RAF callback, animation time: 133.10899999999037
157.0529999999053 - RAF callback, animation time: 134.3130000000201
158.27899999999318 - RAF callback, animation time: 135.5389999999943
159.52199999992445 - RAF callback, animation time: 136.77900000004684
160.73099999994156 - RAF callback, animation time: 137.99100000005637
161.95399999992333 - RAF callback, animation time: 139.21400000003814
163.1649999999354 - RAF callback, animation time: 140.4250000000502
164.3739999999525 - RAF callback, animation time: 141.63400000006732
165.58599999996204 - RAF callback, animation time: 142.84600000007686
166.80699999994886 - RAF callback, animation time: 144.06700000006367
168.02199999995082 - RAF callback, animation time: 145.28100000006816
169.2449999999326 - RAF callback, animation time: 146.5050000000474
170.45899999993708 - RAF callback, animation time: 147.72500000003674
171.66899999995167 - RAF callback, animation time: 148.93000000006396
172.89199999993343 - RAF callback, animation time: 150.15200000004825
174.10599999993792 - RAF callback, animation time: 151.36600000005274
175.32699999992474 - RAF callback, animation time: 152.58700000003955
176.53099999995447 - RAF callback, animation time: 153.7910000000693
177.75099999994382 - RAF callback, animation time: 155.01100000005863
178.9609999999584 - RAF callback, animation time: 156.22100000007322
180.1669999999831 - RAF callback, animation time: 157.42599999998674
181.3919999999598 - RAF callback, animation time: 158.63600000000133
182.61499999994157 - RAF callback, animation time: 159.8750000000564
183.8359999999284 - RAF callback, animation time: 161.09400000004825
185.0609999999051 - RAF callback, animation time: 162.32100000001992
186.28300000000309 - RAF callback, animation time: 163.5430000000042
187.55299999997987 - RAF callback, animation time: 164.812999999981
188.76299999999446 - RAF callback, animation time: 166.0229999999956
189.98399999998128 - RAF callback, animation time: 167.2439999999824
191.19200000000092 - RAF callback, animation time: 168.45100000000457
192.3989999999094 - RAF callback, animation time: 169.6590000000242
193.62499999999727 - RAF callback, animation time: 170.88599999999587
194.84699999998156 - RAF callback, animation time: 172.10799999998017
196.0990000000038 - RAF callback, animation time: 173.35500000001502
197.34199999993507 - RAF callback, animation time: 174.6010000000524
198.55899999993198 - RAF callback, animation time: 175.81800000004932
199.76299999996172 - RAF callback, animation time: 177.02200000007906
200.97199999997883 - RAF callback, animation time: 178.23199999997996
202.179000000001 - RAF callback, animation time: 179.43900000000212
203.38399999991452 - RAF callback, animation time: 180.64400000002934
204.6899999999141 - RAF callback, animation time: 181.94900000003145
205.94599999992624 - RAF callback, animation time: 183.20200000005116
207.17400000000907 - RAF callback, animation time: 184.4340000000102
208.37999999992007 - RAF callback, animation time: 185.6390000000374
209.5879999999397 - RAF callback, animation time: 186.84700000005705
210.7939999999644 - RAF callback, animation time: 188.05300000008174
211.99300000000676 - RAF callback, animation time: 189.2530000000079
213.19799999992028 - RAF callback, animation time: 190.4580000000351
214.40399999994497 - RAF callback, animation time: 191.6640000000598
215.596000000005 - RAF callback, animation time: 192.85500000000866
216.80099999991853 - RAF callback, animation time: 194.06100000003335
218.00599999994574 - RAF callback, animation time: 195.26600000006056
219.208999999978 - RAF callback, animation time: 196.46899999997913
220.4069999999092 - RAF callback, animation time: 197.66600000002654
221.63100000000213 - RAF callback, animation time: 198.89100000000326
222.83899999990808 - RAF callback, animation time: 200.0990000000229
222.86899999994603 - Running checks for time: 200, delay: 0.09900000002289744
222.99699999996392 - Checking expectation: [null,0.2,"test","left",100,10]
223.90199999995275 - Ending test
