Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
150.41699999994762 - RAF callback, animation time: 130.60200000006716
151.54699999993682 - RAF callback, animation time: 131.73100000005888
152.6609999999664 - RAF callback, animation time: 132.84600000008595
154.4699999999466 - RAF callback, animation time: 134.65400000006866
155.7149999999865 - RAF callback, animation time: 135.8979999999974
156.85499999995045 - RAF callback, animation time: 137.03900000007252
158.10499999997774 - RAF callback, animation time: 138.23999999999614
159.19799999994666 - RAF callback, animation time: 139.38100000007125
160.33899999990808 - RAF callback, animation time: 140.52300000003015
161.6159999999809 - RAF callback, animation time: 141.78600000002461
162.75499999994736 - RAF callback, animation time: 142.9400000000669
163.97999999992408 - RAF callback, animation time: 144.16400000004614
165.14199999994617 - RAF callback, animation time: 145.32600000006823
166.29100000000108 - RAF callback, animation time: 146.47500000000946
167.44999999991705 - RAF callback, animation time: 147.6350000000366
168.61699999992652 - RAF callback, animation time: 148.7920000000713
169.80099999989307 - RAF callback, animation time: 149.9820000000227
172.48899999992773 - RAF callback, animation time: 152.6690000000599
173.8309999999501 - RAF callback, animation time: 153.82900000008704
174.8929999999973 - RAF callback, animation time: 154.98200000001816
176.0909999999285 - RAF callback, animation time: 156.13300000006802
177.08699999991495 - RAF callback, animation time: 157.27100000003702
178.22199999989152 - RAF callback, animation time: 158.4060000000136
179.57299999989118 - RAF callback, animation time: 159.75300000002335
180.69899999989048 - RAF callback, animation time: 160.88400000001002
181.83599999997568 - RAF callback, animation time: 162.02100000009523
182.99899999999525 - RAF callback, animation time: 163.18300000000363
184.13699999996425 - RAF callback, animation time: 164.3220000000838
185.2769999999282 - RAF callback, animation time: 165.46100000005026
186.43599999995786 - RAF callback, animation time: 166.6210000000774
187.59000000000015 - RAF callback, animation time: 167.77400000000853
188.74299999993127 - RAF callback, animation time: 168.92800000005082
189.88199999989774 - RAF callback, animation time: 170.0670000000173
191.0209999999779 - RAF callback, animation time: 171.20599999998376
192.1869999999899 - RAF callback, animation time: 172.37199999999575
193.26599999999416 - RAF callback, animation time: 173.45100000000002
194.62799999996605 - RAF callback, animation time: 174.80799999998453
195.75399999996534 - RAF callback, animation time: 175.9380000000874
196.89999999991414 - RAF callback, animation time: 177.0850000000337
198.09799999995903 - RAF callback, animation time: 178.2820000000811
199.1969999999128 - RAF callback, animation time: 179.38300000002982
200.46099999990474 - RAF callback, animation time: 180.6450000000268
201.492999999914 - RAF callback, animation time: 181.679000000031
202.65899999992598 - RAF callback, animation time: 182.83100000007835
203.78199999993285 - RAF callback, animation time: 183.9670000000524
204.93899999996756 - RAF callback, animation time: 185.12300000008963
206.10799999997198 - RAF callback, animation time: 186.29300000009152
207.30599999990318 - RAF callback, animation time: 187.49000000002525
208.4389999999985 - RAF callback, animation time: 188.62300000000687
209.5719999999801 - RAF callback, animation time: 189.75699999998596
210.69599999998445 - RAF callback, animation time: 190.8809999999903
211.83499999995092 - RAF callback, animation time: 192.02000000007047
212.96699999993507 - RAF callback, animation time: 193.1520000000546
214.12999999995463 - RAF callback, animation time: 194.31500000007418
215.26799999992363 - RAF callback, animation time: 195.4520000000457
216.39699999991535 - RAF callback, animation time: 196.5820000000349
217.56199999992987 - RAF callback, animation time: 197.74600000005194
218.6989999999014 - RAF callback, animation time: 198.88400000002093
219.8439999999664 - RAF callback, animation time: 200.02900000008594
220.98299999993287 - RAF callback, animation time: 201.16800000005242
